Element,Atomic Number,Atomic Radius pm,Atomic Mass,Density g cm-3,Melting Point C,Electronegativity,First Ionization Energy kJ mol-1,Valence Electrons,d Electrons
Fe,26,126,55.845,7.874,1538,1.83,762.5,8,6
Cu,29,128,63.546,8.96,1084.62,1.90,745.5,11,10
Ti,22,147,47.867,4.506,1668,1.54,658.8,4,2
Ni,28,124,58.6934,8.908,1455,1.91,737.1,10,8
Co,27,125,58.9332,8.90,1495,1.88,760.4,9,7
Zn,30,134,65.38,7.14,419.53,1.65,906.4,12,10
Zr,40,160,91.224,6.52,1855,1.33,640.1,4,2
Mo,42,139,95.95,10.28,2623,2.16,684.3,6,5
W,74,139,183.84,19.25,3422,2.36,770.0,6,4
Cr,24,128,51.9961,7.19,1907,1.66,652.9,6,5
V,23,134,50.9415,6.11,1910,1.63,650.9,5,3
Nb,41,146,92.9064,8.57,2477,1.60,652.1,5,4
Ta,73,146,180.9479,16.69,3017,1.50,761.0,5,3
Hf,72,159,178.49,13.31,2233,1.30,658.5,4,2
Sc,21,162,44.9559,2.985,1541,1.36,633.1,3,1
Y,39,180,88.9058,4.47,1526,1.22,600.0,3,1
Ag,47,144,107.8682,10.49,961.78,1.93,731.0,11,10
Au,79,144,196.9666,19.30,1064.18,2.54,890.1,11,10
Pt,78,139,195.084,21.45,1768.3,2.28,870.0,10,9
Pd,46,137,106.42,12.02,1554.9,2.20,804.4,10,10
Al,13,143,26.9815,2.70,660.32,1.61,577.5,3,0
Mg,12,160,24.305,1.738,650,1.31,737.7,2,0
Ca,20,197,40.078,1.54,842,1.00,589.8,2,0
Li,3,152,6.94,0.534,180.5,0.98,520.2,1,0
Na,11,186,22.9898,0.968,97.79,0.93,495.8,1,0
K,19,227,39.0983,0.862,63.38,0.82,418.8,1,0
Ba,56,222,137.327,3.62,727,0.89,502.9,2,0
Sr,38,215,87.62,2.64,777,0.95,549.5,2,0
