Element,Period,Group,Block,Metal Family
Fe,4,8,d,transition
Cu,4,11,d,transition
Ti,4,4,d,transition
Ni,4,10,d,transition
Co,4,9,d,transition
Zn,4,12,d,transition
Zr,5,4,d,transition
Mo,5,6,d,transition
W,6,6,d,transition
Cr,4,6,d,transition
V,4,5,d,transition
Nb,5,5,d,transition
Ta,6,5,d,transition
Hf,6,4,d,transition
Sc,4,3,d,transition
Y,5,3,d,transition
Ag,5,11,d,transition
Au,6,11,d,transition
Pt,6,10,d,transition
Pd,5,10,d,transition
Al,3,13,p,post-transition
Mg,3,2,s,alkaline-earth
Ca,4,2,s,alkaline-earth
Li,2,1,s,alkali
Na,3,1,s,alkali
K,4,1,s,alkali
Ba,6,2,s,alkaline-earth
Sr,5,2,s,alkaline-earth
