Element,E_BCC,E_FCC,E_HCP,Actual Structure,Atomic Number,Atomic Radius pm,Atomic Mass,Density g cm-3,Melting Point C,Electronegativity,First Ionization Energy kJ mol-1,Valence Electrons,d Electrons,Has Transition,Transition Temp C,Before,After,DFT Stable Structure,Second Stable Structure,Delta_E,Delta_E_BCC_FCC,Delta_E_BCC_HCP,Delta_E_FCC_HCP,DFT Matches Actual
Fe,0.0,0.161451849999999,0.0864137599999992,BCC,26,126,55.845,7.874,1538.0,1.83,762.5,8,6,True,912.0,BCC,FCC,BCC,HCP,0.0864137599999992,-0.161451849999999,-0.0864137599999992,0.07503808999999981,True
Cu,0.0351119,0.0,0.00560411000000016,FCC,29,128,63.546,8.96,1084.62,1.9,745.5,11,10,False,,,,FCC,HCP,0.00560411000000016,0.0351119,0.02950778999999984,-0.00560411000000016,True
Ti,0.11433330666667,0.0700547166666698,0.0135421754166698,HCP,22,147,47.867,4.506,1668.0,1.54,658.8,4,2,True,882.0,HCP,BCC,HCP,FCC,0.056512541250000006,0.0442785900000002,0.10079113125000021,0.056512541250000006,True
Ni,0.0907972999999993,0.0,0.0100222924999995,FCC,28,124,58.6934,8.908,1455.0,1.91,737.1,10,8,False,,,,FCC,HCP,0.0100222924999995,0.0907972999999993,0.0807750074999998,-0.0100222924999995,True
Co,0.10104314999999975,0.0,-0.016891099999999604,HCP,27,125,58.9332,8.9,1495.0,1.88,760.4,9,7,True,422.0,HCP,FCC,HCP,FCC,0.016891099999999604,0.10104314999999975,0.11793424999999935,0.016891099999999604,True
Zn,0.0833459999999999,0.02426913,0.0,HCP,30,134,65.38,7.14,419.53,1.65,906.4,12,10,False,,,,HCP,FCC,0.02426913,0.059076869999999906,0.0833459999999999,0.02426913,True
Zr,0.0796308700000008,0.0396869400000011,0.0,HCP,40,160,91.224,6.52,1855.0,1.33,640.1,4,2,True,863.0,HCP,BCC,HCP,FCC,0.0396869400000011,0.0399439299999997,0.0796308700000008,0.0396869400000011,True
Mo,0.0,0.415565020000001,0.4208136275000012,BCC,42,139,95.95,10.28,2623.0,2.16,684.3,6,5,False,,,,BCC,FCC,0.415565020000001,-0.415565020000001,-0.4208136275000012,-0.005248607500000169,True
W,0.0,0.478504429999999,0.4521042587499995,BCC,74,139,183.84,19.25,3422.0,2.36,770.0,6,4,False,,,,BCC,HCP,0.4521042587499995,-0.478504429999999,-0.4521042587499995,0.026400171249999493,True
Cr,0.0,0.39359574999999936,0.24864954833333286,BCC,24,128,51.9961,7.19,1907.0,1.66,652.9,6,5,False,,,,BCC,HCP,0.24864954833333286,-0.39359574999999936,-0.24864954833333286,0.1449462016666665,True
