Element,Actual Structure,DFT Stable Structure,DFT Matches Actual,E_BCC,E_FCC,E_HCP,Delta_E,Has Transition,Transition Temp C,Before,After,d Electrons
K,BCC,HCP,False,0.0003093650000001,0.0004788550000001,5.89125000001189e-05,0.0002504524999999,False,,,,0
Ag,FCC,HCP,False,0.0254230424999999,0.0004953524999997,0.0,0.0004953524999997,False,,,,10
Li,BCC,FCC,False,0.0033719899999999,0.00102457,0.0045293899999998,0.0023474199999999,False,,,,0
Na,BCC,HCP,False,0.00305485,0.0027607,0.0,0.0027607,False,,,,0
Sr,FCC,FCC,True,0.0045665499999998,0.0,0.0014520399999999,0.0014520399999999,True,547.0,FCC,BCC,0
Ca,FCC,FCC,True,0.0146880999999999,0.0,0.0026094049999998,0.0026094049999998,True,450.0,FCC,BCC,0
Au,FCC,FCC,True,0.0182637200000002,0.0,0.0035985625000001,0.0035985625000001,False,,,,10
Cu,FCC,FCC,True,0.0351119,0.0,0.0056041100000001,0.0056041100000001,False,,,,10
Ni,FCC,FCC,True,0.0907972999999993,0.0,0.0100222924999995,0.0100222924999995,False,,,,8
Mg,HCP,HCP,True,0.0288302008333299,0.0130016908333299,1.30008333298903e-05,0.01298869,False,,,,0
Al,FCC,FCC,True,0.0955485499999997,0.0007887799999997,0.0142352199999998,0.01344644,False,,,,0
Pd,FCC,FCC,True,0.0405961900000004,0.0,0.0140613325000007,0.0140613325000007,False,,,,10
Ba,BCC,BCC,True,0.0,0.01778743,0.01407768,0.01407768,True,727.0,BCC,HCP,0
Co,HCP,HCP,True,0.1010431499999997,0.0,-0.0168910999999996,0.0168910999999996,True,422.0,HCP,FCC,7
Y,HCP,HCP,True,0.126662035,0.0241223549999994,0.0,0.0241223549999994,False,,,,1
Zn,HCP,HCP,True,0.0833459999999999,0.02426913,0.0,0.02426913,False,,,,10
Pt,FCC,FCC,True,0.0948412300000001,0.0,0.0316223275,0.0316223275,False,,,,9
Zr,HCP,HCP,True,0.0796308700000008,0.0396869400000011,0.0,0.0396869400000011,True,863.0,HCP,BCC,2
Sc,HCP,HCP,True,0.107883835,0.0504654650000003,0.0,0.0504654650000003,False,,,,1
Ti,HCP,HCP,True,0.11433330666667,0.0700547166666698,0.0135421754166698,0.05651254125,True,882.0,HCP,BCC,2
Hf,HCP,HCP,True,0.179675254999999,0.0717406650000001,0.0,0.0717406650000001,True,1743.0,HCP,BCC,2
Fe,BCC,BCC,True,0.0,0.161451849999999,0.0864137599999992,0.0864137599999992,True,912.0,BCC,FCC,6
Ta,BCC,BCC,True,0.0,0.24225738,0.100498950833332,0.100498950833332,False,,,,3
V,BCC,BCC,True,0.0,0.25849391,0.1013677516666682,0.1013677516666682,False,,,,3
Cr,BCC,BCC,True,0.0,0.3935957499999993,0.2486495483333328,0.2486495483333328,False,,,,5
Nb,BCC,BCC,True,0.0,0.321764889999999,0.291389604999999,0.291389604999999,False,,,,4
Mo,BCC,BCC,True,0.0,0.415565020000001,0.4208136275000012,0.415565020000001,False,,,,5
W,BCC,BCC,True,0.0,0.478504429999999,0.4521042587499995,0.4521042587499995,False,,,,4
